Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female",
"MB by Commonwealth Electoral Divisions (UR)",
"Adelaide",1112,3200,5675,4226,1085,5210,8422,3178,2584,6550,3892,4609,670,2114,10056,2948,5448,17074,28047,14951,
"Aston",650,2537,7040,5003,471,2523,5100,3001,1432,4666,3643,5022,242,1369,9887,2827,2794,11096,25675,15856,
"Ballarat",707,2151,6030,4734,220,1714,5143,3039,726,3336,3659,4983,409,1632,10198,3055,2060,8841,25028,15818,
"Banks",857,2809,6244,3995,907,3240,5345,2386,2028,4938,3930,4162,296,1384,10262,2424,4084,12376,25789,12965,
"Mitchell",1253,3770,4449,4438,457,2656,4536,1812,2684,6429,3010,4414,446,1841,7499,2773,4838,14694,19497,13439,
"Monash",360,1646,6368,4573,110,926,3605,2634,335,2045,3487,4464,304,1707,11660,3488,1109,6317,25113,15159,
"Moncrieff",625,2394,6291,4903,524,3150,6229,3999,1094,4081,4346,5316,358,1654,11068,3242,2594,11285,27938,17448,
"Moore",639,3160,5812,5265,197,2119,4620,2204,848,4383,3081,4289,243,1475,7636,2599,1928,11140,21152,14361,
"Moreton",1271,3230,4595,3652,1140,4735,6843,3116,2787,6361,3536,4149,507,1710,7852,2202,5706,16035,22833,13116,
"New England",565,1942,5878,4720,157,1319,5189,2664,588,2646,3996,4244,369,1625,11069,3118,1671,7529,26136,14749,
"Newcastle",939,2662,4991,4443,449,3139,6671,3428,1501,4904,3343,4625,492,1606,8563,2725,3380,12307,23568,15227,
"Nicholls",272,1482,7008,4457,146,1204,4219,2763,363,2201,4036,4475,146,1151,12010,2802,924,6039,27271,14488,
"North Sydney",2369,5067,2807,3747,1259,5001,4068,1657,4643,9475,2221,3895,1288,3237,5809,3567,9555,22782,14902,12862,
"O'Connor",272,1745,7296,4378,87,1037,4607,2487,351,2517,5288,4235,166,1288,9599,2649,869,6588,26779,13748,
"Oxley",647,2159,6513,4226,289,2190,6299,3639,1358,4468,5621,5405,260,1091,6966,1873,2547,9909,25395,15140,
"Page",455,2384,6534,5675,81,869,4250,2482,397,2633,3779,4429,359,1921,12904,3846,1285,7805,27456,16434,
"Parkes",294,1628,6589,4196,153,1414,4915,2731,386,2594,4500,4107,130,1059,10869,2291,967,6700,26873,13319,
"Parramatta",1029,2741,5698,3351,1718,4959,6089,2728,4578,7566,4689,4864,317,1340,7735,1827,7634,16614,24211,12773,
"Paterson",344,1462,6783,4680,108,1074,5291,3562,448,2325,4800,5403,196,1184,11518,2806,1088,6040,28392,16444,
"Pearce",368,1938,7539,5025,184,2016,6845,4522,710,3794,6636,6945,176,901,7369,2158,1436,8653,28380,18644,
"Perth",949,2802,4380,3540,741,4612,5026,3131,2190,6618,3388,4594,398,1531,7457,2197,4280,15569,20257,13467,
"Petrie",466,2132,6560,4820,208,1666,5113,3767,889,4076,5085,6033,268,1371,11447,2912,1831,9237,28207,17526,
"Rankin",452,1778,7572,4343,490,2341,7140,4051,1421,4216,6401,6001,159,864,8419,1913,2523,9203,29524,16301,
"Reid",1496,3800,5157,3890,2218,6178,7019,2511,3913,8056,3528,4502,637,1974,8106,2351,8255,20005,23816,13264,
"Richmond",650,2766,5744,5498,128,1028,3467,2105,600,3389,3312,4579,477,2125,12417,4093,1854,9303,24949,16275,
"Riverina",397,1767,6084,4484,103,1453,5223,2993,450,2901,4067,4331,232,1378,11758,2796,1183,7500,27136,14607,
"Robertson",626,2385,5342,5059,139,1349,4092,2517,724,3140,3198,4583,417,1792,10964,3608,1913,8661,23589,15771,
"Ryan",1900,4217,3091,3927,843,4582,7799,2705,2663,6324,2144,3682,1047,2789,6085,2728,6450,17923,19116,13043,
"Scullin",305,1417,7611,3426,600,2735,5845,3391,1505,4145,5350,5523,86,623,9223,1202,2501,8921,28025,13545,
"Shortland",476,1956,6038,4726,101,1265,4419,2745,624,3107,3606,4538,273,1446,12057,2991,1473,7778,26120,15008,
"Solomon",625,1630,3364,2699,316,1973,3850,2348,1017,3529,3408,3852,277,737,2909,1067,2232,7866,13524,9967,
"Spence",169,1010,8650,4302,113,1195,8022,4301,352,1832,6985,5560,62,625,10578,1845,701,4658,34233,16008,
"Stirling",589,2328,5051,3466,491,3355,4831,2874,1488,5378,4029,4516,213,1531,9105,2320,2783,12596,23008,13178,
"Sturt",1430,3982,5742,5012,729,3595,5881,2112,2414,6412,3079,4118,831,3022,12818,4236,5403,17009,27520,15480,
"Swan",819,2504,4835,3471,871,4759,6861,3480,2122,6092,3879,4502,345,1433,8031,2238,4166,14788,23600,13692,
"Sydney",1828,2969,2868,2634,3078,12593,11304,4289,5462,10528,3446,4838,970,1691,3856,1770,11334,27786,21480,13525,
"Tangney",1086,3596,4412,4136,288,2889,4356,1688,1511,4892,2422,3129,487,2275,8299,3135,3366,13660,19490,12083,
"Wannon",340,1922,6979,4986,107,1065,4131,2549,359,2554,3617,4407,237,1572,12094,3253,1040,7118,26813,15199,
"Warringah",1854,4644,3027,4104,591,3287,3465,1657,2961,7694,2195,4062,884,2470,5984,3200,6289,18099,14666,13015,
"Watson",670,2199,7217,3279,864,3823,6782,2579,2004,4642,5544,4606,238,986,9313,1419,3775,11654,28852,11878,
"Wentworth",1903,4224,2223,2881,1045,5240,3666,1657,3475,8856,2121,3603,1129,2808,5163,2774,7550,21123,13169,10919,
"Werriwa",378,1819,8002,3562,481,2437,6961,3080,1107,3588,6841,5156,106,667,7568,1179,2079,8511,29368,12979,
"Whitlam",453,1681,6581,4736,128,1135,4600,3346,583,2355,4372,5103,393,1431,11481,2989,1558,6602,27038,16173,
"Wide Bay",396,2019,6695,5168,44,618,3516,2023,293,1951,3863,3941,297,1626,12354,3568,1032,6216,26435,14693,
"Wills",1112,2393,4578,3267,1234,5056,5694,2998,3178,6981,3437,4946,384,859,8906,1403,5912,15287,22614,12618,
"Wright",460,1857,7468,5007,78,1155,5022,2992,471,2739,5173,5268,242,1172,8883,2496,1250,6929,26549,15765,
"Bass",386,1590,4588,2807,113,959,3978,1558,385,1924,2980,2710,269,1188,7568,2111,1152,5662,19111,9188,
