Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male",
"MB by Commonwealth Electoral Divisions (UR)",
"Adelaide",1251,2738,5216,5078,825,4016,9412,3594,2522,5610,4822,5318,1031,2198,6063,4083,5628,14559,25515,18080,
"Aston",905,2200,4837,6411,277,1805,5953,3377,1293,3339,3625,5794,454,1488,5546,5578,2922,8830,19960,21157,
"Ballarat",589,1471,4713,5687,145,990,5484,3528,562,2061,3645,5396,537,1272,6308,5281,1830,5793,20143,19900,
"Banks",1115,2514,4684,4988,650,2658,6181,2697,1900,3739,3802,4741,579,1618,5958,4688,4247,10526,20625,17124,
"Mitchell",1943,3387,3047,5341,306,1926,5315,2251,2494,4610,2753,4930,973,2342,3923,4611,5719,12276,15039,17139,
"Monash",270,1001,4827,6250,44,383,3975,3009,179,999,3087,5189,381,1254,7943,6672,867,3639,19830,21119,
"Moncrieff",660,1821,4957,5769,360,2168,6476,4073,976,2926,4650,6452,497,1765,6902,5974,2488,8683,22990,22266,
"Moore",1016,2701,3383,7030,140,1472,5394,3124,786,2801,2798,5504,544,1575,3950,5701,2482,8548,15520,21366,
